"operatorCode","operatorName","countryName","countryCode","Update"
"ABW","AIRBRIDGE CARGO AIRLINES LTD","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"ABX","ABX AIR, INC. (WILMINGTON, OH)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"ARE","AIRES, AEROVIAS DE INTEGRACION REGIONAL S.A.","Colombia","COL","""2017-10-18T01:00:02.487Z"""
"AZA","ALITALIA - COMPAGNIA AEREA ITALIANA S.P.A.","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"ANA","ALL NIPPON AIRWAYS CO., LTD.","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"ASQ","ATLANTIC SOUTHEAST AIRLINES (ATLANTA, GA)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"GTI","ATLAS AIR, INC. (JAMAICA, NY)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"AVA","AVIANCA, AEROVIAS NACIONALES DE COLOMBIA, S.A.","Colombia","COL","""2017-10-18T01:00:02.487Z"""
"AHY","AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE","Azerbaijan","AZE","""2017-10-18T01:00:02.487Z"""
"CBJ","BEIJING CAPITAL AIRLINES CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"BRJ","BORA JET HAVACILIK TASIMACILIK UCAK BAKIM ONARIM VE TICARET A.S.","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"BMR","BRITISH MIDLAND REGIONAL LTD","United Kingdom of Great Britain and Northern Ireland","GBR","""2017-10-18T01:00:02.487Z"""
"BRX","BUFFALO EXPRESS AIRLINES, INC. (BUFFALO, NY)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"CLX","CARGOLUX AIRLINES INTERNATIONAL S.A.","Luxembourg","LUX","""2017-10-18T01:00:02.487Z"""
"HXA","CHINA EXPRESS AIRLINES CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"AUT","CIELOS DEL SUR S.A. - AUSTRAL","Argentina","ARG","""2017-10-18T01:00:02.487Z"""
"CMP","COMPANIA PANAMENA DE AVIACION, S.A.","Panama","PAN","""2017-10-18T01:00:02.487Z"""
"CPZ","COMPASS AIRLINES (CHANTILLY, VA)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"VOI","CONCESIONARIA VUELA COMPANIA DE AVIACION, S.A. DE C.V.","Mexico","MEX","""2017-10-18T01:00:02.487Z"""
"CFG","CONDOR FLUGDIENST GMBH, KELSTERBACH (SITZ)","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"CCM","CORSE-MEDITERRANEE, COMPAGNIE","France","FRA","""2017-10-18T01:00:02.487Z"""
"DHX","DHL AVIATION EEMEA B.S.C.(C)","Bahrain","BHR","""2017-10-18T01:00:02.487Z"""
"GUG","EMPRESA GUATEMALTECA DE AVIACION (AVIATECA)","Guatemala","GTM","""2017-10-18T01:00:02.487Z"""
"ESF","ESTAFETA CARGA AEREA, S.A. DE C.V.","Mexico","MEX","""2017-10-18T01:00:02.487Z"""
"ETH","ETHIOPIAN AIRLINES CORPORATION","Ethiopia","ETH","""2017-10-18T01:00:02.487Z"""
"LIA","LEEWARD ISLANDS AIR TRANSPORT (1974) LTD.","Antigua and Barbuda","ATG","""2017-10-18T01:00:02.487Z"""
"LGW","LGW-LUFTFAHRTGESELLSCHAFT WALTER MBH, DORTMUND","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"FDX","FEDERAL EXPRESS CORPORATION (LITTLE ROCK, AR)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"FCM","FINNISH COMMUTER AIRLINES OY","Finland","FIN","""2017-10-18T01:00:02.487Z"""
"FHY","FREE BIRD AIRLINES (HURKUS HAVAYOLU TASIMACILIK VE TICARET A.S.)","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"GIA","GARUDA INDONESIA AIRWAYS, PT.","Indonesia","IDN","""2017-10-18T01:00:02.487Z"""
"GMI","GERMANIA FLUGGESELLSCHAFT KOLN","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"GOW","GO AIRLINES (INDIA) PRIVATE LIMITED","India","IND","""2017-10-18T01:00:02.487Z"""
