"operatorCode","operatorName","countryName","countryCode","Update"
"ABY","AIR ARABIA","United Arab Emirates","ARE","""2017-10-18T01:00:02.487Z"""
"KZR","AIR ASTANA","Kazakhstan","KAZ","""2017-10-18T01:00:02.487Z"""
"ABD","AIR ATLANTA ICELANDIC","Iceland","ISL","""2017-10-18T01:00:02.487Z"""
"REU","AIR AUSTRAL","France","FRA","""2017-10-18T01:00:02.487Z"""
"BTI","AIR BALTIC CORPORATION JSC","Latvia","LVA","""2017-10-18T01:00:02.487Z"""
"BOT","AIR BOTSWANA (PTY.), LTD.","Botswana","BWA","""2017-10-18T01:00:02.487Z"""
"VBW","AIR BURKINA","Burkina Faso","BFA","""2017-10-18T01:00:02.487Z"""
"MSC","AIR CAIRO","Egypt","EGY","""2017-10-18T01:00:02.487Z"""
"TPC","AIR CALEDONIE","France","FRA","""2017-10-18T01:00:02.487Z"""
"ACI","AIR CALEDONIE INTERNATIONAL","France","FRA","""2017-10-18T01:00:02.487Z"""
"ACA","AIR CANADA","Canada","CAN","""2017-10-18T01:00:02.487Z"""
"JZA","JAZZ AVIATION LP","Canada","CAN","""2017-10-18T01:00:02.487Z"""
"FWI","AIR CARAIBES","France","FRA","""2017-10-18T01:00:02.487Z"""
"CAJ","AIR CARAIBES ATLANTIQUE","France","FRA","""2017-10-18T01:00:02.487Z"""
"CCA","AIR CHINA","China","CHN","""2017-10-18T01:00:02.487Z"""
"DLA","AIR DOLOMITI","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"AEA","AIR EUROPA","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"AFR","AIR FRANCE","France","FRA","""2017-10-18T01:00:02.487Z"""
"GGN","AIR GEORGIAN LTD","Canada","CAN","""2017-10-18T01:00:02.487Z"""
"AIC","AIR INDIA LIMITED","India","IND","""2017-10-18T01:00:02.487Z"""
"AFW","AFRICA WORLD AIRLINES LIMITED","Ghana","GHA","""2017-10-18T01:00:02.487Z"""
"AXB","AIR INDIA EXPRESS","India","IND","""2017-10-18T01:00:02.487Z"""
"AEY","AIR ITALY S.P.A.","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"AJX","AIR JAPAN CO., LTD","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"AMU","AIR MACAU","China","CHN","""2017-10-18T01:00:02.487Z"""
"AMC","AIR MALTA PLC.","Malta","MLT","""2017-10-18T01:00:02.487Z"""
"NMB","AIR NAMIBIA (PTY) LTD","Namibia","NAM","""2017-10-18T01:00:02.487Z"""
"ANZ","AIR NEW ZEALAND LTD","New Zealand","NZL","""2017-10-18T01:00:02.487Z"""
"ANG","AIR NIUGINI","Papua New Guinea","PNG","""2017-10-18T01:00:02.487Z"""
"FJI","AIR PACIFIC LIMITED","Fiji","FJI","""2017-10-18T01:00:02.487Z"""
"CYL","AIR ONE CITYLINER SPA","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"SEY","AIR SEYCHELLES","Seychelles","SYC","""2017-10-18T01:00:02.487Z"""
"VTA","AIR TAHITI","France","FRA","""2017-10-18T01:00:02.487Z"""
"THT","AIR TAHITI NUI","France","FRA","""2017-10-18T01:00:02.487Z"""
"TSC","AIR TRANSAT A.T. INC.","Canada","CAN","""2017-10-18T01:00:02.487Z"""
"AVN","AIR VANUATU","Vanuatu","VUT","""2017-10-18T01:00:02.487Z"""
"XAX","AIRASIA X SDN BHD","Malaysia","MYS","""2017-10-18T01:00:02.487Z"""
"AXE","AIREXPLORE, S.R.O.","Slovakia","SVK","""2017-10-18T01:00:02.487Z"""
"TYA","AIRLINE TAIMYR, JSC","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"ASA","ALASKA AIRLINES INC.","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"UTY","ALLIANCE AIRLINES PTY LTD","Australia","AUS","""2017-10-18T01:00:02.487Z"""
"LMU","ALMASRIA UNIVERSAL AIRLINES","Egypt","EGY","""2017-10-18T01:00:02.487Z"""
"AKX","ANA WINGS CO., LTD","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"ANS","ANDES LINEAS AEREAS, S.A.","Argentina","ARG","""2017-10-18T01:00:02.487Z"""
"ARA","ARIK AIR LTD","Nigeria","NGA","""2017-10-18T01:00:02.487Z"""
"AIZ","ARKIA ISRAEL INLAND AIRLINES","Israel","ISR","""2017-10-18T01:00:02.487Z"""
"AAR","ASIANA AIRLINES","Republic of Korea","KOR","""2017-10-18T01:00:02.487Z"""
"SKK","ASKY","Togo","TGO","""2017-10-18T01:00:02.487Z"""
"KKK","ATLASJET HAVACILIK A.S.","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"NVD","AVION EXPRESS","Lithuania","LTU","""2017-10-18T01:00:02.487Z"""
"AZU","AZUL LINHAS AEREAS BRASILEIRAS S/A","Brazil","BRA","""2017-10-18T01:00:02.487Z"""
"BHS","BAHAMAS AIR HOLDINGS LTD.","Bahamas","BHS","""2017-10-18T01:00:02.487Z"""
"BKP","BANGKOK AIRWAYS","Thailand","THA","""2017-10-18T01:00:02.487Z"""
"BBC","BANGLADESH BIMAN","Bangladesh","BGD","""2017-10-18T01:00:02.487Z"""
"BRU","BELAVIA","Belarus","BLR","""2017-10-18T01:00:02.487Z"""
"BGH","BH AIR","Bulgaria","BGR","""2017-10-18T01:00:02.487Z"""
"IBB","BINTER CANARIAS","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"BOV","BOLIVIANA DE AVIACION","Bolivia (Plurinational State of)","BOL","""2017-10-18T01:00:02.487Z"""
"BAW","BRITISH AIRWAYS","United Kingdom of Great Britain and Northern Ireland","GBR","""2017-10-18T01:00:02.487Z"""
"BEL","BRUSSELS AIRLINES ","Belgium","BEL","""2017-10-18T01:00:02.487Z"""
"LZB","BULGARIA AIR","Bulgaria","BGR","""2017-10-18T01:00:02.487Z"""
"CJT","CARGOJET AIRWAYS LTD","Canada","CAN","""2017-10-18T01:00:02.487Z"""
"KRP","CARPATAIR S.A.","Romania","ROU","""2017-10-18T01:00:02.487Z"""
"ICL","CAVEI AVIR LEMITANIM","Israel","ISR","""2017-10-18T01:00:02.487Z"""
"CAY","CAYMAN AIRWAYS LTD.","United Kingdom of Great Britain and Northern Ireland","GBR","""2017-10-18T01:00:02.487Z"""
"CKK","CHINA CARGO AIRLINES LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"CYZ","CHINA POSTAL AIRLINES LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"CHB","CHINA WEST AIR CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"CIM","CIMBER AIR A/S","Denmark","DNK","""2017-10-18T01:00:02.487Z"""
"BCY","CITYJET","Ireland","IRL","""2017-10-18T01:00:02.487Z"""
"CAW","COMAIR LTD","South Africa","ZAF","""2017-10-18T01:00:02.487Z"""
"PEV","ALTENRHEIN LUFTFAHRT GMBH","Austria","AUT","""2017-10-18T01:00:02.487Z"""
"CRL","CORSE AIR INTERNATIONAL","France","FRA","""2017-10-18T01:00:02.487Z"""
"CTN","CROATIA AIRLINES","Croatia","HRV","""2017-10-18T01:00:02.487Z"""
"CUB","CUBANA DE AVIACION S.A.","Cuba","CUB","""2017-10-18T01:00:02.487Z"""
"DAN","DANA AIRLINES LIMITED","Nigeria","NGA","""2017-10-18T01:00:02.487Z"""
"DTR","DANISH AIR TRANSPORT A/S","Denmark","DNK","""2017-10-18T01:00:02.487Z"""
"DWT","DARWIN AIRLINE SA","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"DAL","DELTA AIR LINES, INC.","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"DLH","DEUTSCHE LUFTHANSA, A.G.","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"DHK","DHL AIR LIMITED","United Kingdom of Great Britain and Northern Ireland","GBR","""2017-10-18T01:00:02.487Z"""
"UDN","DNIEPROAVIA","Ukraine","UKR","""2017-10-18T01:00:02.487Z"""
"DNU","DOT LT","Lithuania","LTU","""2017-10-18T01:00:02.487Z"""
"ESR","EASTARJET","Republic of Korea","KOR","""2017-10-18T01:00:02.487Z"""
"EDW","EDELWEISS AIR AG","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"MSR","EGYPT AIR","Egypt","EGY","""2017-10-18T01:00:02.487Z"""
"ELY","EL AL - ISRAEL AIRLINES LTD.","Israel","ISR","""2017-10-18T01:00:02.487Z"""
"UAE","EMIRATES","United Arab Emirates","ARE","""2017-10-18T01:00:02.487Z"""
"ETD","ETIHAD AIRWAYS","United Arab Emirates","ARE","""2017-10-18T01:00:02.487Z"""
"MMZ","EUROATLANTIC AIRWAYS","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"BCS","EUROPEAN AIR TRANSPORT","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"FAT","FARNAIR SWITZERLAND AG","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"FJA","FIJI AIRLINES LIMITED","Fiji","FJI","""2017-10-18T01:00:02.487Z"""
"FIN","FINNAIR OYJ","Finland","FIN","""2017-10-18T01:00:02.487Z"""
"FDB","FLYDUBAI","United Arab Emirates","ARE","""2017-10-18T01:00:02.487Z"""
"TGZ","GEORGIAN AIRWAYS","Georgia","GEO","""2017-10-18T01:00:02.487Z"""
"GLP","GLOBUS","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"CHH","HAINAN AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"HAL","HAWAIIAN AIRLINES","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"OAW","HELVETIC AIRWAYS AG","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"HFY","HI FLY","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"CRK","HONG KONG AIRLINES LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"IBX","IBEX AIRLINES CO., LTD","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"ICE","ICELANDAIR","Iceland","ISL","""2017-10-18T01:00:02.487Z"""
"IZM","IHY IZMIR HAVAYOLLARI A.S.","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"ISV","ISLENA DE INVERSIONES, S.A.","Honduras","HND","""2017-10-18T01:00:02.487Z"""
"ISR","ISRAIR LTD","Israel","ISR","""2017-10-18T01:00:02.487Z"""
"JAL","JAPAN AIRLINES CO., LTD","Japan","JPN","""2017-10-18T01:00:02.487Z"""
"JZR","JAZEERA AIRWAYS","Kuwait","KWT","""2017-10-18T01:00:02.487Z"""
"JJA","JEJU AIR","Republic of Korea","KOR","""2017-10-18T01:00:02.487Z"""
"JTG","JET TIME A/S","Denmark","DNK","""2017-10-18T01:00:02.487Z"""
"JLL","JETLITE (INDIA) LTD","India","IND","""2017-10-18T01:00:02.487Z"""
"JNA","JIN AIR CO., LTD","Republic of Korea","KOR","""2017-10-18T01:00:02.487Z"""
"DKH","JUNEYAO AIRLINES CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"KQA","KENYA AIRWAYS LTD.","Kenya","KEN","""2017-10-18T01:00:02.487Z"""
"IRK","KISH AIR","Iran (Islamic Republic of)","IRN","""2017-10-18T01:00:02.487Z"""
"KLC","KLM CITYHOPPER BV","Netherlands","NLD","""2017-10-18T01:00:02.487Z"""
"KLM","KLM ROYAL DUTCH AIRLINES","Netherlands","NLD","""2017-10-18T01:00:02.487Z"""
"KAC","KUWAIT AIRWAYS CORPORATION","Kuwait","KWT","""2017-10-18T01:00:02.487Z"""
"LCB","L.C. BUSRE SAC","Peru","PER","""2017-10-18T01:00:02.487Z"""
"DSM","LAN ARGENTINA S.A.","Argentina","ARG","""2017-10-18T01:00:02.487Z"""
"LCO","LAN CARGO S.A.","Chile","CHL","""2017-10-18T01:00:02.487Z"""
"LPE","LAN PERU S.A.","Peru","PER","""2017-10-18T01:00:02.487Z"""
"LOT","LOT - POLSKIE LINIE LOTNICZE","Poland","POL","""2017-10-18T01:00:02.487Z"""
"LKE","LUCKY AIR CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"CLH","LUFTHANSA CITYLINE GMBH","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"MCJ","MACAIR JET S.A.","Argentina","ARG","""2017-10-18T01:00:02.487Z"""
"SCW","MALMO AVIATION AB","Sweden","SWE","""2017-10-18T01:00:02.487Z"""
"ISS","MERIDIANA FLY S.P.A.","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"MSA","MISTRAL AIR SRL","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"MGL","MONGOLIAN AIRLINES","Mongolia","MNG","""2017-10-18T01:00:02.487Z"""
"NOS","NEOS S.P.A.","Italy","ITA","""2017-10-18T01:00:02.487Z"""
"NMA","NESMA AIRLINES","Egypt","EGY","""2017-10-18T01:00:02.487Z"""
"NTJ","NEXTJET","Sweden","SWE","""2017-10-18T01:00:02.487Z"""
"NLY","NIKI LUFTFAHRT GMBH","Austria","AUT","""2017-10-18T01:00:02.487Z"""
"NIA","NILE AIR","Egypt","EGY","""2017-10-18T01:00:02.487Z"""
"NWS","NORD WIND LLC","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"LBT","NOUVEL AIR TUNISIE","Tunisia","TUN","""2017-10-18T01:00:02.487Z"""
"NOV","NOVA AIRLINE","Sudan","SDN","""2017-10-18T01:00:02.487Z"""
"OKA","OKAY AIRWAYS COMPANY LIMITED","China","CHN","""2017-10-18T01:00:02.487Z"""
"OAL","OLYMPIC AIR","Greece","GRC","""2017-10-18T01:00:02.487Z"""
"OMA","OMAN AIR","Oman","OMN","""2017-10-18T01:00:02.487Z"""
"OHY","ONUR HAVA TASIMACILIK AWMS","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"BOS","OPENSKIES","France","FRA","""2017-10-18T01:00:02.487Z"""
"OBS","ORBEST","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"OEA","ORIENT THAI AIRLINES","Thailand","THA","""2017-10-18T01:00:02.487Z"""
"OLA","OVERLAND AIRWAYS LIMITED","Nigeria","NGA","""2017-10-18T01:00:02.487Z"""
"PRI","PRIMERA AIR SCANDINAVIA","Denmark","DNK","""2017-10-18T01:00:02.487Z"""
"PTG","PRIVATAIR GMBH, DUSSELDORF","Germany","DEU","""2017-10-18T01:00:02.487Z"""
"PTI","PRIVATAIR SA","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"PVG","PRIVILEGE STYLE, S.A.","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"PLM","PULLMANTUR AIR","Spain","ESP","""2017-10-18T01:00:02.487Z"""
"QFA","QANTAS AIRWAYS LIMITED","Australia","AUS","""2017-10-18T01:00:02.487Z"""
"QTR","QATAR AIRWAYS COMPANY","Qatar","QAT","""2017-10-18T01:00:02.487Z"""
"TAO","TRANSPORTES AEROMAR","Mexico","MEX","""2017-10-18T01:00:02.487Z"""
"RJA","ROYAL JORDANIAN","Jordan","JOR","""2017-10-18T01:00:02.487Z"""
"RWD","RWANDAIR EXPRESS ","Rwanda","RWA","""2017-10-18T01:00:02.487Z"""
"LNK","SA AIRLINK (PTY) LTD","South Africa","ZAF","""2017-10-18T01:00:02.487Z"""
"SFR","SAFAIR  (PTY.) LTD","South Africa","ZAF","""2017-10-18T01:00:02.487Z"""
"SFW","SAFI AIRWAYS","Afghanistan","AFG","""2017-10-18T01:00:02.487Z"""
"RZO","SATA INTERNACIONAL","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"SVA","SAUDI ARABIAN AIRLINES","Saudi Arabia","SAU","""2017-10-18T01:00:02.487Z"""
"VSV","SCAT","Kazakhstan","KAZ","""2017-10-18T01:00:02.487Z"""
"CSS","SF AIRLINES COMPANY LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
"CDG","SHANDONG AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"CSH","SHANGHAI AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"CSZ","SHENZHEN AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"CSC","SI CHUAN AIRLINES","China","CHN","""2017-10-18T01:00:02.487Z"""
"SKV","SKY REGIONAL AIRLINES INC.","Canada","CAN","""2017-10-18T01:00:02.487Z"""
"SKU","SKY SERVICE","Chile","CHL","""2017-10-18T01:00:02.487Z"""
"SMR","SOMON AIR","Tajikistan","TJK","""2017-10-18T01:00:02.487Z"""
"CQH","SPRING AIRLINES CO., LTD","China","CHN","""2017-10-18T01:00:02.487Z"""
